Format,2.0A,Unnamed: 2
Memory Length,5000,
IntpDistance,1660,
Trigger Address,89,
Trigger Level,64.0mV,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,13,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-01,
Vertical Position,8.000E-03,
Horizontal Units,S,
Horizontal Scale,5.000E-06,
Horizontal Position,2.410E-05,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-08,
Horizontal Old Scale,5.000E-06,
Horizontal Old Position,2.410E-05,
Firmware,V1.20,
Time,29-Sep-21 19:31:59,
Mode,Fast,
Waveform Data,,
-21.0,,
-24.0,,
-19.0,,
-18.0,,
-12.0,,
-14.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
23.0,,
22.0,,
27.0,,
21.0,,
14.0,,
14.0,,
16.0,,
15.0,,
1.0,,
-0.0,,
-20.0,,
-24.0,,
-19.0,,
-19.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
21.0,,
21.0,,
14.0,,
14.0,,
16.0,,
14.0,,
-0.0,,
-0.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
2.0,,
2.0,,
24.0,,
27.0,,
22.0,,
21.0,,
14.0,,
16.0,,
14.0,,
15.0,,
1.0,,
-0.0,,
-20.0,,
-25.0,,
-18.0,,
-19.0,,
-12.0,,
-13.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
23.0,,
27.0,,
22.0,,
21.0,,
15.0,,
16.0,,
14.0,,
14.0,,
1.0,,
-0.0,,
-20.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
23.0,,
27.0,,
22.0,,
21.0,,
14.0,,
14.0,,
16.0,,
15.0,,
1.0,,
-1.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-13.0,,
-12.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
21.0,,
21.0,,
14.0,,
16.0,,
14.0,,
14.0,,
-0.0,,
-0.0,,
-20.0,,
-24.0,,
-18.0,,
-19.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
2.0,,
2.0,,
24.0,,
27.0,,
22.0,,
21.0,,
14.0,,
16.0,,
14.0,,
14.0,,
1.0,,
-0.0,,
-20.0,,
-24.0,,
-19.0,,
-19.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
22.0,,
21.0,,
15.0,,
14.0,,
16.0,,
15.0,,
1.0,,
-0.0,,
-20.0,,
-24.0,,
-19.0,,
-19.0,,
-12.0,,
-14.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
23.0,,
27.0,,
22.0,,
21.0,,
15.0,,
16.0,,
14.0,,
14.0,,
1.0,,
-0.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
2.0,,
2.0,,
24.0,,
27.0,,
22.0,,
21.0,,
14.0,,
16.0,,
14.0,,
14.0,,
-0.0,,
-0.0,,
-20.0,,
-24.0,,
-18.0,,
-19.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
2.0,,
2.0,,
24.0,,
27.0,,
22.0,,
21.0,,
15.0,,
16.0,,
14.0,,
14.0,,
1.0,,
-0.0,,
-20.0,,
-24.0,,
-19.0,,
-19.0,,
-12.0,,
-13.0,,
-12.0,,
-11.0,,
3.0,,
2.0,,
23.0,,
22.0,,
27.0,,
21.0,,
15.0,,
16.0,,
14.0,,
14.0,,
1.0,,
-0.0,,
-20.0,,
-24.0,,
-18.0,,
-19.0,,
-12.0,,
-13.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
20.0,,
19.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
25.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-0.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-0.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-11.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
20.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
20.0,,
18.0,,
-11.0,,
-12.0,,
-23.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
20.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-11.0,,
-12.0,,
-24.0,,
-23.0,,
-0.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-23.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
17.0,,
-11.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-23.0,,
-2.0,,
-1.0,,
23.0,,
27.0,,
19.0,,
17.0,,
-10.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-11.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-11.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-11.0,,
-12.0,,
-24.0,,
-24.0,,
-0.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-11.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
17.0,,
-11.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-11.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-11.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-23.0,,
-23.0,,
-1.0,,
-0.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-11.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
17.0,,
-10.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-11.0,,
-12.0,,
-24.0,,
-24.0,,
-2.0,,
-1.0,,
24.0,,
27.0,,
20.0,,
18.0,,
-11.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-11.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-11.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-12.0,,
-23.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
18.0,,
-11.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-11.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
19.0,,
17.0,,
-11.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
21.0,,
20.0,,
15.0,,
16.0,,
14.0,,
14.0,,
1.0,,
-0.0,,
-21.0,,
-25.0,,
-16.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
5.0,,
4.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
2.0,,
2.0,,
24.0,,
27.0,,
22.0,,
21.0,,
15.0,,
16.0,,
14.0,,
14.0,,
-0.0,,
-1.0,,
-21.0,,
-25.0,,
-16.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
5.0,,
2.0,,
-21.0,,
-24.0,,
-15.0,,
-16.0,,
13.0,,
13.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-13.0,,
-12.0,,
-12.0,,
2.0,,
2.0,,
23.0,,
27.0,,
19.0,,
18.0,,
-10.0,,
-12.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
21.0,,
20.0,,
15.0,,
16.0,,
14.0,,
14.0,,
-0.0,,
-0.0,,
-20.0,,
-24.0,,
-16.0,,
-17.0,,
14.0,,
13.0,,
26.0,,
25.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
3.0,,
2.0,,
23.0,,
27.0,,
21.0,,
20.0,,
14.0,,
14.0,,
16.0,,
15.0,,
-0.0,,
-0.0,,
-20.0,,
-24.0,,
-16.0,,
-17.0,,
14.0,,
13.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-25.0,,
-16.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-15.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-22.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-13.0,,
-11.0,,
-12.0,,
2.0,,
2.0,,
23.0,,
27.0,,
22.0,,
21.0,,
15.0,,
14.0,,
16.0,,
14.0,,
1.0,,
-0.0,,
-21.0,,
-25.0,,
-18.0,,
-19.0,,
-12.0,,
-13.0,,
-11.0,,
-12.0,,
2.0,,
2.0,,
24.0,,
27.0,,
21.0,,
21.0,,
14.0,,
14.0,,
16.0,,
14.0,,
1.0,,
-0.0,,
-21.0,,
-24.0,,
-18.0,,
-19.0,,
-12.0,,
-14.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
22.0,,
21.0,,
14.0,,
14.0,,
16.0,,
14.0,,
1.0,,
-0.0,,
-20.0,,
-25.0,,
-17.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-25.0,,
-16.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-22.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
26.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-25.0,,
-16.0,,
-16.0,,
13.0,,
14.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
26.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
26.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
20.0,,
18.0,,
-10.0,,
-12.0,,
-24.0,,
-24.0,,
-1.0,,
-1.0,,
24.0,,
26.0,,
21.0,,
21.0,,
15.0,,
16.0,,
14.0,,
14.0,,
-0.0,,
-0.0,,
-21.0,,
-24.0,,
-19.0,,
-19.0,,
-12.0,,
-13.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
23.0,,
27.0,,
21.0,,
21.0,,
14.0,,
14.0,,
16.0,,
15.0,,
1.0,,
-0.0,,
-21.0,,
-25.0,,
-16.0,,
-16.0,,
13.0,,
14.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-22.0,,
-24.0,,
-18.0,,
-19.0,,
-12.0,,
-14.0,,
-11.0,,
-12.0,,
2.0,,
2.0,,
25.0,,
27.0,,
21.0,,
21.0,,
15.0,,
14.0,,
16.0,,
15.0,,
-0.0,,
-0.0,,
-21.0,,
-25.0,,
-19.0,,
-19.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
21.0,,
21.0,,
15.0,,
16.0,,
13.0,,
15.0,,
-0.0,,
-1.0,,
-20.0,,
-25.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-11.0,,
-12.0,,
2.0,,
2.0,,
24.0,,
27.0,,
20.0,,
18.0,,
-10.0,,
-12.0,,
-24.0,,
-23.0,,
-1.0,,
-1.0,,
24.0,,
27.0,,
20.0,,
20.0,,
14.0,,
15.0,,
16.0,,
14.0,,
1.0,,
-0.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-17.0,,
-18.0,,
-12.0,,
-13.0,,
-12.0,,
-12.0,,
2.0,,
2.0,,
24.0,,
27.0,,
21.0,,
20.0,,
14.0,,
14.0,,
16.0,,
15.0,,
1.0,,
-0.0,,
-21.0,,
-25.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-12.0,,
-12.0,,
3.0,,
2.0,,
23.0,,
27.0,,
22.0,,
21.0,,
15.0,,
14.0,,
16.0,,
14.0,,
1.0,,
-1.0,,
-20.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-20.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
26.0,,
26.0,,
4.0,,
3.0,,
-22.0,,
-24.0,,
-15.0,,
-16.0,,
13.0,,
14.0,,
26.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-13.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
23.0,,
27.0,,
22.0,,
21.0,,
15.0,,
16.0,,
14.0,,
14.0,,
-0.0,,
-0.0,,
-21.0,,
-24.0,,
-17.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-15.0,,
-16.0,,
13.0,,
13.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
14.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-15.0,,
-15.0,,
14.0,,
14.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
14.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-22.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
14.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-20.0,,
-24.0,,
-15.0,,
-16.0,,
14.0,,
13.0,,
26.0,,
26.0,,
4.0,,
2.0,,
-22.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
13.0,,
26.0,,
26.0,,
4.0,,
3.0,,
-22.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
26.0,,
26.0,,
4.0,,
2.0,,
-21.0,,
-24.0,,
-15.0,,
-15.0,,
14.0,,
13.0,,
26.0,,
26.0,,
4.0,,
2.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-13.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
22.0,,
21.0,,
14.0,,
14.0,,
16.0,,
14.0,,
1.0,,
-0.0,,
-20.0,,
-24.0,,
-19.0,,
-19.0,,
-12.0,,
-14.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
22.0,,
21.0,,
14.0,,
16.0,,
14.0,,
14.0,,
1.0,,
-0.0,,
-20.0,,
-25.0,,
-17.0,,
-17.0,,
14.0,,
14.0,,
26.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-22.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-11.0,,
-11.0,,
2.0,,
2.0,,
24.0,,
27.0,,
21.0,,
21.0,,
14.0,,
14.0,,
16.0,,
14.0,,
-0.0,,
-0.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
26.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
14.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-15.0,,
-15.0,,
14.0,,
13.0,,
27.0,,
25.0,,
5.0,,
2.0,,
-21.0,,
-24.0,,
-15.0,,
-16.0,,
14.0,,
13.0,,
26.0,,
26.0,,
4.0,,
2.0,,
-21.0,,
-24.0,,
-15.0,,
-16.0,,
13.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
13.0,,
26.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-15.0,,
-16.0,,
14.0,,
14.0,,
27.0,,
26.0,,
4.0,,
2.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
14.0,,
26.0,,
26.0,,
4.0,,
2.0,,
-21.0,,
-24.0,,
-18.0,,
-18.0,,
-12.0,,
-14.0,,
-11.0,,
-12.0,,
3.0,,
2.0,,
24.0,,
27.0,,
21.0,,
21.0,,
14.0,,
17.0,,
14.0,,
15.0,,
-0.0,,
-1.0,,
-20.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
-24.0,,
-15.0,,
-15.0,,
14.0,,
13.0,,
26.0,,
25.0,,
4.0,,
2.0,,
-21.0,,
-24.0,,
-16.0,,
-15.0,,
14.0,,
13.0,,
27.0,,
26.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
13.0,,
14.0,,
27.0,,
25.0,,
5.0,,
3.0,,
-21.0,,
-24.0,,
-16.0,,
-16.0,,
14.0,,
13.0,,
27.0,,
26.0,,
4.0,,
3.0,,
-21.0,,
